id,verse_id,verse
46,genesis_34_11,"And Shechem said unto her father and unto her brethren, Let me find grace in your eyes, and what ye shall say unto me I will give."
47,joel_1_5,"Awake, ye drunkards, and weep; and howl, all ye drinkers of wine, because of the new wine; for it is cut off from your mouth."
48,isaiah_45_21,"Tell ye, and bring them near; yea, let them take counsel together: who hath declared this from ancient time? who hath told it from that time? have not I the LORD? and there is no God else beside me; a just God and a Saviour; there is none beside me."
49,psalms_104_34,My meditation of him shall be sweet: I will be glad in the LORD.
50,2_peter_3_8,"But, beloved, be not ignorant of this one thing, that one day is with the Lord as a thousand years, and a thousand years as one day."
51,proverbs_7_24,"Hearken unto me now therefore, O ye children, and attend to the words of my mouth."
52,numbers_3_26,"And the hangings of the court, and the curtain for the door of the court, which is by the tabernacle, and by the altar round about, and the cords of it for all the service thereof."
53,1_samuel_25_37,"But it came to pass in the morning, when the wine was gone out of Nabal, and his wife had told him these things, that his heart died within him, and he became as a stone."
54,2_chronicles_23_21,"And all the people of the land rejoiced: and the city was quiet, after that they had slain Athaliah with the sword."
55,romans_8_15,"For ye have not received the spirit of bondage again to fear; but ye have received the Spirit of adoption, whereby we cry, Abba, Father."
56,genesis_44_18,"Then Judah came near unto him, and said, Oh my lord, let thy servant, I pray thee, speak a word in my lord's ears, and let not thine anger burn against thy servant: for thou art even as Pharaoh."
57,amos_7_2,"And it came to pass, that when they had made an end of eating the grass of the land, then I said, O Lord GOD, forgive, I beseech thee: by whom shall Jacob arise? for he is small."
58,jeremiah_45_5,"And seekest thou great things for thyself? seek them not: for, behold, I will bring evil upon all flesh, saith the LORD: but thy life will I give unto thee for a prey in all places whither thou goest."
59,ezekiel_24_19,"And the people said unto me, Wilt thou not tell us what these things are to us, that thou doest so?"
60,ezra_2_39,"The children of Harim, a thousand and seventeen."
61,2_timothy_2_15,"Study to shew thyself approved unto God, a workman that needeth not to be ashamed, rightly dividing the word of truth."
62,isaiah_27_11,"When the boughs thereof are withered, they shall be broken off: the women come, and set them on fire: for it is a people of no understanding: therefore he that made them will not have mercy on them, and he that formed them will shew them no favour."
63,acts_19_25,"Whom he called together with the workmen of like occupation, and said, Sirs, ye know that by this craft we have our wealth."
64,job_36_20,"Desire not the night, when people are cut off in their place."
65,psalms_78_2,I will open my mouth in a parable: I will utter dark sayings of old:
66,2_samuel_14_17,"Then thine handmaid said, The word of my lord the king shall now be comfortable: for as an angel of God, so is my lord the king to discern good and bad: therefore the LORD thy God will be with thee."
67,2_kings_13_23,"And the LORD was gracious unto them, and had compassion on them, and had respect unto them, because of his covenant with Abraham, Isaac, and Jacob, and would not destroy them, neither cast he them from his presence as yet."
68,psalms_92_9,"For, lo, thine enemies, O LORD, for, lo, thine enemies shall perish; all the workers of iniquity shall be scattered."
69,psalms_147_12,"Praise the LORD, O Jerusalem; praise thy God, O Zion."
70,hebrews_5_14,"But strong meat belongeth to them that are of full age, even those who by reason of use have their senses exercised to discern both good and evil."
71,leviticus_22_21,"And whosoever offereth a sacrifice of peace offerings unto the LORD to accomplish his vow, or a freewill offering in beeves or sheep, it shall be perfect to be accepted; there shall be no blemish therein."
72,ezekiel_25_12,"Thus saith the Lord GOD; Because that Edom hath dealt against the house of Judah by taking vengeance, and hath greatly offended, and revenged himself upon them;"
73,2_samuel_13_17,"Then he called his servant that ministered unto him, and said, Put now this woman out from me, and bolt the door after her."
74,ezra_2_51,"The children of Bakbuk, the children of Hakupha, the children of Harhur,"
75,mark_1_43,"And he straitly charged him, and forthwith sent him away;"
76,exodus_10_25,"And Moses said, Thou must give us also sacrifices and burnt offerings, that we may sacrifice unto the LORD our God."
77,ezra_8_21,"Then I proclaimed a fast there, at the river of Ahava, that we might afflict ourselves before our God, to seek of him a right way for us, and for our little ones, and for all our substance."
78,2_samuel_9_1,"And David said, Is there yet any that is left of the house of Saul, that I may shew him kindness for Jonathan's sake?"
79,ephesians_4_31,"Let all bitterness, and wrath, and anger, and clamour, and evil speaking, be put away from you, with all malice:"
80,mark_14_54,"And Peter followed him afar off, even into the palace of the high priest: and he sat with the servants, and warmed himself at the fire."
81,ezekiel_10_11,"When they went, they went upon their four sides; they turned not as they went, but to the place whither the head looked they followed it; they turned not as they went."
82,leviticus_23_22,"And when ye reap the harvest of your land, thou shalt not make clean riddance of the corners of thy field when thou reapest, neither shalt thou gather any gleaning of thy harvest: thou shalt leave them unto the poor, and to the stranger: I am the LORD your God."
83,1_chronicles_28_4,"Howbeit the LORD God of Israel chose me before all the house of my father to be king over Israel for ever: for he hath chosen Judah to be the ruler; and of the house of Judah, the house of my father; and among the sons of my father he liked me to make me king over all Israel:"
84,genesis_2_9,"And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil."
85,isaiah_33_5,The LORD is exalted; for he dwelleth on high: he hath filled Zion with judgment and righteousness.
86,revelation_18_15,"The merchants of these things, which were made rich by her, shall stand afar off for the fear of her torment, weeping and wailing,"
87,2_samuel_14_2,"And Joab sent to Tekoah, and fetched thence a wise woman, and said unto her, I pray thee, feign thyself to be a mourner, and put on now mourning apparel, and anoint not thyself with oil, but be as a woman that had a long time mourned for the dead:"
88,2_samuel_15_36,"Behold, they have there with them their two sons, Ahimaaz Zadok's son, and Jonathan Abiathar's son; and by them ye shall send unto me every thing that ye can hear."
89,numbers_29_37,"Their meat offering and their drink offerings for the bullock, for the ram, and for the lambs, shall be according to their number, after the manner:"
90,haggai_2_20,"And again the word of the LORD came unto Haggai in the four and twentieth day of the month, saying,"
91,2_kings_9_4,"So the young man, even the young man the prophet, went to Ramoth-gilead."
92,1_chronicles_21_9,"And the LORD spake unto Gad, David's seer, saying,"
93,proverbs_12_10,A righteous man regardeth the life of his beast: but the tender mercies of the wicked are cruel.
94,judges_14_5,"Then went Samson down, and his father and his mother, to Timnath, and came to the vineyards of Timnath: and, behold, a young lion roared against him."
95,acts_12_5,Peter therefore was kept in prison: but prayer was made without ceasing of the church unto God for him.
96,micah_3_11,"The heads thereof judge for reward, and the priests thereof teach for hire, and the prophets thereof divine for money: yet will they lean upon the LORD, and say, Is not the LORD among us? none evil can come upon us."
97,isaiah_36_4,"And Rabshakeh said unto them, Say ye now to Hezekiah, Thus saith the great king, the king of Assyria, What confidence is this wherein thou trustest?"
98,judges_5_3,"Hear, O ye kings; give ear, O ye princes; I, even I, will sing unto the LORD; I will sing praise to the LORD God of Israel."
99,proverbs_5_15,"Drink waters out of thine own cistern, and running waters out of thine own well."
100,exodus_37_25,"And he made the incense altar of shittim wood: the length of it was a cubit, and the breadth of it a cubit; it was foursquare; and two cubits was the height of it; the horns thereof were of the same."
101,deuteronomy_32_16,"They provoked him to jealousy with strange gods, with abominations provoked they him to anger."
102,1_samuel_25_7,"And now I have heard that thou hast shearers: now thy shepherds which were with us, we hurt them not, neither was there ought missing unto them, all the while they were in Carmel."
103,luke_23_9,Then he questioned with him in many words; but he answered him nothing.
104,leviticus_10_5,"So they went near, and carried them in their coats out of the camp; as Moses had said."
105,ezra_2_20,"The children of Gibbar, ninety and five."
106,matthew_18_20,"For where two or three are gathered together in my name, there am I in the midst of them."
107,leviticus_5_14,"And the LORD spake unto Moses, saying,"
108,mark_6_54,"And when they were come out of the ship, straightway they knew him,"
109,judges_7_7,"And the LORD said unto Gideon, By the three hundred men that lapped will I save you, and deliver the Midianites into thine hand: and let all the other people go every man unto his place."
110,2_chronicles_33_1,"Manasseh was twelve years old when he began to reign, and he reigned fifty and five years in Jerusalem:"
111,acts_19_41,"And when he had thus spoken, he dismissed the assembly."
112,2_samuel_8_2,"And he smote Moab, and measured them with a line, casting them down to the ground; even with two lines measured he to put to death, and with one full line to keep alive. And so the Moabites became David's servants, and brought gifts."
113,psalms_61_7,"He shall abide before God for ever: O prepare mercy and truth, which may preserve him."
114,2_samuel_1_22,"From the blood of the slain, from the fat of the mighty, the bow of Jonathan turned not back, and the sword of Saul returned not empty."
115,1_thessalonians_5_9,"For God hath not appointed us to wrath, but to obtain salvation by our Lord Jesus Christ,"
116,genesis_36_19,"These are the sons of Esau, who is Edom, and these are their dukes."
117,zephaniah_2_8,"I have heard the reproach of Moab, and the revilings of the children of Ammon, whereby they have reproached my people, and magnified themselves against their border."
118,deuteronomy_22_8,"When thou buildest a new house, then thou shalt make a battlement for thy roof, that thou bring not blood upon thine house, if any man fall from thence."
119,2_samuel_1_8,"And he said unto me, Who art thou? And I answered him, I am an Amalekite."
120,luke_11_31,"The queen of the south shall rise up in the judgment with the men of this generation, and condemn them: for she came from the utmost parts of the earth to hear the wisdom of Solomon; and, behold, a greater than Solomon is here."
121,2_chronicles_13_10,"But as for us, the LORD is our God, and we have not forsaken him; and the priests, which minister unto the LORD, are the sons of Aaron, and the Levites wait upon their business:"
122,jeremiah_2_23,"How canst thou say, I am not polluted, I have not gone after Baalim? see thy way in the valley, know what thou hast done: thou art a swift dromedary traversing her ways;"
123,isaiah_54_7,For a small moment have I forsaken thee; but with great mercies will I gather thee.
124,numbers_16_23,"And the LORD spake unto Moses, saying,"
125,luke_11_27,"And it came to pass, as he spake these things, a certain woman of the company lifted up her voice, and said unto him, Blessed is the womb that bare thee, and the paps which thou hast sucked."
126,isaiah_43_4,"Since thou wast precious in my sight, thou hast been honourable, and I have loved thee: therefore will I give men for thee, and people for thy life."
127,isaiah_5_1,Now will I sing to my wellbeloved a song of my beloved touching his vineyard. My wellbeloved hath a vineyard in a very fruitful hill:
128,judges_16_25,"And it came to pass, when their hearts were merry, that they said, Call for Samson, that he may make us sport. And they called for Samson out of the prison house; and he made them sport: and they set him between the pillars."
129,joshua_23_13,"Know for a certainty that the LORD your God will no more drive out any of these nations from before you; but they shall be snares and traps unto you, and scourges in your sides, and thorns in your eyes, until ye perish from off this good land which the LORD your God hath given you."
130,isaiah_5_11,"Woe unto them that rise up early in the morning, that they may follow strong drink; that continue until night, till wine inflame them!"
131,joshua_21_20,"And the families of the children of Kohath, the Levites which remained of the children of Kohath, even they had the cities of their lot out of the tribe of Ephraim."
132,ecclesiastes_8_9,"All this have I seen, and applied my heart unto every work that is done under the sun: there is a time wherein one man ruleth over another to his own hurt."
133,exodus_34_19,"All that openeth the matrix is mine; and every firstling among thy cattle, whether ox or sheep, that is male."
134,1_kings_15_30,"Because of the sins of Jeroboam which he sinned, and which he made Israel sin, by his provocation wherewith he provoked the LORD God of Israel to anger."
135,genesis_30_16,"And Jacob came out of the field in the evening, and Leah went out to meet him, and said, Thou must come in unto me; for surely I have hired thee with my son's mandrakes. And he lay with her that night."
136,ezra_3_5,"And afterward offered the continual burnt offering, both of the new moons, and of all the set feasts of the LORD that were consecrated, and of every one that willingly offered a freewill offering unto the LORD."
137,acts_8_6,"And the people with one accord gave heed unto those things which Philip spake, hearing and seeing the miracles which he did."
138,judges_10_13,"Yet ye have forsaken me, and served other gods: wherefore I will deliver you no more."
139,deuteronomy_32_21,They have moved me to jealousy with that which is not God; they have provoked me to anger with their vanities: and I will move them to jealousy with those which are not a people; I will provoke them to anger with a foolish nation.
140,proverbs_27_8,"As a bird that wandereth from her nest, so is a man that wandereth from his place."
141,genesis_41_23,"And, behold, seven ears, withered, thin, and blasted with the east wind, sprung up after them:"
142,1_chronicles_1_8,"The sons of Ham; Cush, and Mizraim, Put, and Canaan."
143,2_peter_1_17,"For he received from God the Father honour and glory, when there came such a voice to him from the excellent glory, This is my beloved Son, in whom I am well pleased."
144,colossians_4_9,"With Onesimus, a faithful and beloved brother, who is one of you. They shall make known unto you all things which are done here."
145,exodus_10_15,"For they covered the face of the whole earth, so that the land was darkened; and they did eat every herb of the land, and all the fruit of the trees which the hail had left: and there remained not any green thing in the trees, or in the herbs of the field, through all the land of Egypt."
146,genesis_48_6,"And thy issue, which thou begettest after them, shall be thine, and shall be called after the name of their brethren in their inheritance."
147,revelation_6_3,"And when he had opened the second seal, I heard the second beast say, Come and see."
148,luke_12_59,"I tell thee, thou shalt not depart thence, till thou hast paid the very last mite."
149,proverbs_21_13,"Whoso stoppeth his ears at the cry of the poor, he also shall cry himself, but shall not be heard."
150,luke_8_36,They also which saw it told them by what means he that was possessed of the devils was healed.
151,revelation_18_11,And the merchants of the earth shall weep and mourn over her; for no man buyeth their merchandise any more:
152,1_chronicles_1_45,"And when Jobab was dead, Husham of the land of the Temanites reigned in his stead."
153,isaiah_33_21,"But there the glorious LORD will be unto us a place of broad rivers and streams; wherein shall go no galley with oars, neither shall gallant ship pass thereby."
154,exodus_30_3,"And thou shalt overlay it with pure gold, the top thereof, and the sides thereof round about, and the horns thereof; and thou shalt make unto it a crown of gold round about."
155,acts_13_49,And the word of the Lord was published throughout all the region.
156,leviticus_23_21,"And ye shall proclaim on the selfsame day, that it may be an holy convocation unto you: ye shall do no servile work therein: it shall be a statute for ever in all your dwellings throughout your generations."
157,numbers_28_15,"And one kid of the goats for a sin offering unto the LORD shall be offered, beside the continual burnt offering, and his drink offering."
158,exodus_21_26,"And if a man smite the eye of his servant, or the eye of his maid, that it perish; he shall let him go free for his eye's sake."
159,1_samuel_23_20,"Now therefore, O king, come down according to all the desire of thy soul to come down; and our part shall be to deliver him into the king's hand."
160,mark_2_23,"And it came to pass, that he went through the corn fields on the sabbath day; and his disciples began, as they went, to pluck the ears of corn."
161,jeremiah_16_21,"Therefore, behold, I will this once cause them to know, I will cause them to know mine hand and my might; and they shall know that my name is The LORD."
162,isaiah_23_16,"Take an harp, go about the city, thou harlot that hast been forgotten; make sweet melody, sing many songs, that thou mayest be remembered."
163,psalms_119_145,"I cried with my whole heart; hear me, O LORD: I will keep thy statutes."
164,1_thessalonians_5_11,"Wherefore comfort yourselves together, and edify one another, even as also ye do."
165,jeremiah_3_4,"Wilt thou not from this time cry unto me, My father, thou art the guide of my youth?"
166,joshua_2_20,"And if thou utter this our business, then we will be quit of thine oath which thou hast made us to swear."
167,leviticus_25_14,"And if thou sell ought unto thy neighbour, or buyest ought of thy neighbour's hand, ye shall not oppress one another:"
168,acts_20_9,"And there sat in a window a certain young man named Eutychus, being fallen into a deep sleep: and as Paul was long preaching, he sunk down with sleep, and fell down from the third loft, and was taken up dead."
169,daniel_7_25,"And he shall speak great words against the most High, and shall wear out the saints of the most High, and think to change times and laws: and they shall be given into his hand until a time and times and the dividing of time."
170,ecclesiastes_9_1,"For all this I considered in my heart even to declare all this, that the righteous, and the wise, and their works, are in the hand of God: no man knoweth either love or hatred by all that is before them."
171,proverbs_25_17,"Withdraw thy foot from thy neighbour's house; lest he be weary of thee, and so hate thee."
172,1_kings_13_15,"Then he said unto him, Come home with me, and eat bread."
173,proverbs_12_28,In the way of righteousness is life; and in the pathway thereof there is no death.
174,1_chronicles_9_32,"And other of their brethren, of the sons of the Kohathites, were over the shewbread, to prepare it every sabbath."
175,1_samuel_20_26,"Nevertheless Saul spake not any thing that day: for he thought, Something hath befallen him, he is not clean; surely he is not clean."
176,psalms_146_5,"Happy is he that hath the God of Jacob for his help, whose hope is in the LORD his God:"
177,deuteronomy_32_8,"When the most High divided to the nations their inheritance, when he separated the sons of Adam, he set the bounds of the people according to the number of the children of Israel."
178,luke_12_31,But rather seek ye the kingdom of God; and all these things shall be added unto you.
179,genesis_4_4,"And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering:"
180,jeremiah_38_13,"So they drew up Jeremiah with cords, and took him up out of the dungeon: and Jeremiah remained in the court of the prison."
181,john_14_30,"Hereafter I will not talk much with you: for the prince of this world cometh, and hath nothing in me."
182,job_15_10,"With us are both the grayheaded and very aged men, much elder than thy father."
183,hebrews_13_16,But to do good and to communicate forget not: for with such sacrifices God is well pleased.
184,deuteronomy_27_6,Thou shalt build the altar of the LORD thy God of whole stones: and thou shalt offer burnt offerings thereon unto the LORD thy God:
185,james_2_10,"For whosoever shall keep the whole law, and yet offend in one point, he is guilty of all."
186,isaiah_63_2,"Wherefore art thou red in thine apparel, and thy garments like him that treadeth in the winefat?"
187,2_samuel_15_11,"And with Absalom went two hundred men out of Jerusalem, that were called; and they went in their simplicity, and they knew not any thing."
188,numbers_3_7,"And they shall keep his charge, and the charge of the whole congregation before the tabernacle of the congregation, to do the service of the tabernacle."
189,psalms_95_6,"O come, let us worship and bow down: let us kneel before the LORD our maker."
190,psalms_46_9,"He maketh wars to cease unto the end of the earth; he breaketh the bow, and cutteth the spear in sunder; he burneth the chariot in the fire."
191,ezekiel_20_48,And all flesh shall see that I the LORD have kindled it: it shall not be quenched.
192,2_kings_4_35,"Then he returned, and walked in the house to and fro; and went up, and stretched himself upon him: and the child sneezed seven times, and the child opened his eyes."
193,2_samuel_17_22,"Then David arose, and all the people that were with him, and they passed over Jordan: by the morning light there lacked not one of them that was not gone over Jordan."
194,joshua_8_33,"And all Israel, and their elders, and officers, and their judges, stood on this side the ark and on that side before the priests the Levites, which bare the ark of the covenant of the LORD, as well the stranger, as he that was born among them; half of them over against mount Gerizim, and half of them over against mount Ebal; as Moses the servant of the LORD had commanded before, that they should bless the people of Israel."
195,psalms_119_112,"I have inclined mine heart to perform thy statutes alway, even unto the end."
196,2_kings_22_17,"Because they have forsaken me, and have burned incense unto other gods, that they might provoke me to anger with all the works of their hands; therefore my wrath shall be kindled against this place, and shall not be quenched."
197,acts_4_1,"And as they spake unto the people, the priests, and the captain of the temple, and the Sadducees, came upon them,"
198,judges_16_8,"Then the lords of the Philistines brought up to her seven green withs which had not been dried, and she bound him with them."
199,1_corinthians_10_29,"Conscience, I say, not thine own, but of the other: for why is my liberty judged of another man's conscience?"
200,1_kings_19_20,"And he left the oxen, and ran after Elijah, and said, Let me, I pray thee, kiss my father and my mother, and then I will follow thee. And he said unto him, Go back again: for what have I done to thee?"
201,psalms_77_1,"I cried unto God with my voice, even unto God with my voice; and he gave ear unto me."
202,deuteronomy_28_61,"Also every sickness, and every plague, which is not written in the book of this law, them will the LORD bring upon thee, until thou be destroyed."
203,leviticus_13_45,"And the leper in whom the plague is, his clothes shall be rent, and his head bare, and he shall put a covering upon his upper lip, and shall cry, Unclean, unclean."
204,colossians_3_25,But he that doeth wrong shall receive for the wrong which he hath done: and there is no respect of persons.
205,joshua_24_3,"And I took your father Abraham from the other side of the flood, and led him throughout all the land of Canaan, and multiplied his seed, and gave him Isaac."
206,john_18_26,"One of the servants of the high priest, being his kinsman whose ear Peter cut off, saith, Did not I see thee in the garden with him?"
207,jeremiah_22_17,"But thine eyes and thine heart are not but for thy covetousness, and for to shed innocent blood, and for oppression, and for violence, to do it."
208,genesis_16_4,"And he went in unto Hagar, and she conceived: and when she saw that she had conceived, her mistress was despised in her eyes."
209,amos_9_1,"I saw the LORD standing upon the altar: and he said, Smite the lintel of the door, that the posts may shake: and cut them in the head, all of them; and I will slay the last of them with the sword: he that fleeth of them shall not flee away, and he that escapeth of them shall not be delivered."
210,romans_16_27,"To God only wise, be glory through Jesus Christ for ever. Amen."
211,exodus_14_3,"For Pharaoh will say of the children of Israel, They are entangled in the land, the wilderness hath shut them in."
212,psalms_18_48,"He delivereth me from mine enemies: yea, thou liftest me up above those that rise up against me: thou hast delivered me from the violent man."
213,jeremiah_11_8,"Yet they obeyed not, nor inclined their ear, but walked every one in the imagination of their evil heart: therefore I will bring upon them all the words of this covenant, which I commanded them to do; but they did them not."
214,1_kings_11_27,"And this was the cause that he lifted up his hand against the king: Solomon built Millo, and repaired the breaches of the city of David his father."
215,revelation_12_6,"And the woman fled into the wilderness, where she hath a place prepared of God, that they should feed her there a thousand two hundred and threescore days."
216,2_kings_14_24,"And he did that which was evil in the sight of the LORD: he departed not from all the sins of Jeroboam the son of Nebat, who made Israel to sin."
217,2_chronicles_34_31,"And the king stood in his place, and made a covenant before the LORD, to walk after the LORD, and to keep his commandments, and his testimonies, and his statutes, with all his heart, and with all his soul, to perform the words of the covenant which are written in this book."
218,song_of_solomon_1_12,"While the king sitteth at his table, my spikenard sendeth forth the smell thereof."
219,exodus_32_27,"And he said unto them, Thus saith the LORD God of Israel, Put every man his sword by his side, and go in and out from gate to gate throughout the camp, and slay every man his brother, and every man his companion, and every man his neighbour."
220,jeremiah_3_23,"Truly in vain is salvation hoped for from the hills, and from the multitude of mountains: truly in the LORD our God is the salvation of Israel."
221,deuteronomy_29_4,"Yet the LORD hath not given you an heart to perceive, and eyes to see, and ears to hear, unto this day."
222,jeremiah_32_19,"Great in counsel, and mighty in work: for thine eyes are open upon all the ways of the sons of men: to give every one according to his ways, and according to the fruit of his doings:"
223,2_kings_17_24,"And the king of Assyria brought men from Babylon, and from Cuthah, and from Ava, and from Hamath, and from Sepharvaim, and placed them in the cities of Samaria instead of the children of Israel: and they possessed Samaria, and dwelt in the cities thereof."
224,numbers_29_13,"And ye shall offer a burnt offering, a sacrifice made by fire, of a sweet savour unto the LORD; thirteen young bullocks, two rams, and fourteen lambs of the first year; they shall be without blemish:"
225,nehemiah_11_2,"And the people blessed all the men, that willingly offered themselves to dwell at Jerusalem."
226,revelation_7_14,"And I said unto him, Sir, thou knowest. And he said to me, These are they which came out of great tribulation, and have washed their robes, and made them white in the blood of the Lamb."
227,jonah_2_10,"And the LORD spake unto the fish, and it vomited out Jonah upon the dry land."
228,ezekiel_11_16,"Therefore say, Thus saith the Lord GOD; Although I have cast them far off among the heathen, and although I have scattered them among the countries, yet will I be to them as a little sanctuary in the countries where they shall come."
229,genesis_14_17,"And the king of Sodom went out to meet him after his return from the slaughter of Chedorlaomer, and of the kings that were with him, at the valley of Shaveh, which is the king's dale."
230,job_42_15,And in all the land were no women found so fair as the daughters of Job: and their father gave them inheritance among their brethren.
231,exodus_39_2,"And he made the ephod of gold, blue, and purple, and scarlet, and fine twined linen."
232,1_samuel_9_11,"And as they went up the hill to the city, they found young maidens going out to draw water, and said unto them, Is the seer here?"
233,ezekiel_47_19,"And the south side southward, from Tamar even to the waters of strife in Kadesh, the river to the great sea. And this is the south side southward."
234,judges_9_26,"And Gaal the son of Ebed came with his brethren, and went over to Shechem: and the men of Shechem put their confidence in him."
235,isaiah_1_11,"To what purpose is the multitude of your sacrifices unto me? saith the LORD: I am full of the burnt offerings of rams, and the fat of fed beasts; and I delight not in the blood of bullocks, or of lambs, or of he goats."
236,psalms_56_9,"When I cry unto thee, then shall mine enemies turn back: this I know; for God is for me."
237,luke_7_3,"And when he heard of Jesus, he sent unto him the elders of the Jews, beseeching him that he would come and heal his servant."
238,matthew_9_30,"And their eyes were opened; and Jesus straitly charged them, saying, See that no man know it."
239,psalms_104_1,"Bless the LORD, O my soul. O LORD my God, thou art very great; thou art clothed with honour and majesty."
